HK,Residual,Psipred,CA
50.48,55.56,64.5,46.15
50.55,55.59,64.51,46.17
50.56,55.75,64.61,46.31
50.63,55.93,64.64,46.59
50.68,55.94,64.75,46.67
50.75,56.34,64.95,46.87
50.82,56.35,64.96,46.96
50.89,56.42,64.97,46.97
50.92,56.53,65.18,47.12
51.1,56.57,65.19,47.18
51.14,56.78,65.21,47.22
51.2,56.78,65.38,47.27
51.25,56.81,65.41,47.3
51.32,56.94,65.42,47.32
51.37,57.09,65.43,47.35
51.58,57.23,65.61,47.48
51.69,57.53,65.64,47.7
51.75,57.58,65.73,47.87
51.75,57.58,65.77,47.92
51.92,57.62,65.82,47.96
51.93,57.69,65.87,48.08
52.05,57.71,65.92,48.15
52.13,57.72,65.98,48.24
52.14,57.77,66.02,48.26
52.33,57.8,66.04,48.34
52.39,57.81,66.06,48.35
52.41,57.83,66.08,48.38
52.42,57.89,66.1,48.41
52.43,57.95,66.18,48.47
52.59,58,66.22,48.57
52.72,58.09,66.24,48.59
52.79,58.13,66.28,48.6
52.8,58.33,66.37,48.64
52.83,58.41,66.45,48.66
52.88,58.5,66.45,48.73
52.88,58.5,66.59,48.82
52.93,58.72,66.64,48.88
52.99,58.76,66.69,48.97
52.99,58.85,66.71,48.99
53.07,59.04,66.74,49.03
53.11,59.06,66.84,49.08
53.17,59.38,66.89,49.11
53.24,59.55,66.97,49.12
53.36,59.67,67.04,49.19
53.42,59.73,67.09,49.23
53.43,59.75,67.1,49.3
53.47,59.8,67.22,49.36
53.48,59.83,67.22,49.68
53.57,59.86,67.26,49.7
53.58,59.91,67.28,49.74
53.59,59.91,67.37,49.77
53.64,59.93,67.46,49.79
53.75,59.94,67.46,49.79
53.77,60.01,67.46,49.82
53.77,60.29,67.49,49.83
53.8,60.5,67.53,49.83
53.82,60.5,67.57,49.9
53.9,60.52,67.65,49.94
53.91,60.67,67.68,49.95
53.95,60.71,67.72,50.06
53.98,60.71,67.74,50.15
54.05,60.84,67.76,50.2
54.14,60.97,67.77,50.24
54.26,60.99,67.8,50.26
54.28,60.99,67.82,50.26
54.29,61.01,67.94,50.27
54.29,61.06,67.96,50.28
54.3,61.08,68,50.38
54.32,61.09,68.01,50.39
54.35,61.12,68.03,50.4
54.38,61.17,68.07,50.74
54.38,61.31,68.08,50.75
54.41,61.31,68.14,50.77
54.42,61.36,68.15,50.92
54.42,61.36,68.23,50.93
54.5,61.45,68.26,50.93
54.54,61.57,68.31,51.06
54.63,61.58,68.36,51.16
54.68,61.64,68.36,51.21
54.72,61.69,68.4,51.21
54.73,61.7,68.42,51.21
54.75,61.78,68.46,51.22
54.76,61.8,68.49,51.26
54.78,61.85,68.56,51.29
54.88,61.94,68.56,51.32
54.89,61.97,68.6,51.33
54.95,62.05,68.6,51.37
55.03,62.08,68.66,51.4
55.04,62.14,68.69,51.48
55.1,62.27,68.71,51.51
55.1,62.28,68.71,51.54
55.18,62.33,68.8,51.61
55.27,62.33,68.89,51.62
55.41,62.4,68.91,51.66
55.44,62.4,68.96,51.68
55.54,62.42,68.98,51.69
55.61,62.42,69.01,51.71
55.66,62.43,69.05,51.8
55.73,62.55,69.09,51.95
55.9,62.55,69.13,51.95
55.92,62.56,69.14,51.95
55.93,62.66,69.14,51.96
56.06,62.7,69.15,52.01
56.08,62.71,69.19,52.06
56.11,62.78,69.26,52.07
56.11,62.86,69.3,52.1
56.19,62.89,69.32,52.13
56.26,62.9,69.36,52.14
56.28,62.92,69.39,52.18
56.31,63,69.42,52.26
56.31,63.08,69.47,52.31
56.33,63.11,69.5,52.32
56.38,63.13,69.52,52.35
56.43,63.26,69.53,52.36
56.51,63.28,69.57,52.43
56.64,63.34,69.59,52.43
56.65,63.41,69.72,52.5
56.69,63.41,69.74,52.5
56.71,63.43,69.75,52.58
56.73,63.47,69.77,52.58
56.77,63.48,69.8,52.58
56.77,63.54,69.85,52.74
56.78,63.56,69.85,52.75
56.88,63.67,69.86,52.77
56.99,63.72,69.9,52.78
56.99,63.75,69.94,52.8
57.03,63.79,70.1,52.82
57.06,63.88,70.14,53.07
57.06,63.89,70.15,53.13
57.07,63.91,70.16,53.14
57.13,63.94,70.17,53.18
57.18,63.97,70.25,53.19
57.25,64.03,70.26,53.24
57.25,64.05,70.28,53.3
57.32,64.1,70.29,53.3
57.38,64.12,70.3,53.33
57.41,64.13,70.33,53.34
57.5,64.14,70.35,53.34
57.52,64.15,70.39,53.38
57.56,64.23,70.43,53.51
57.57,64.27,70.43,53.55
57.64,64.28,70.46,53.57
57.67,64.29,70.46,53.57
57.68,64.29,70.49,53.59
57.73,64.3,70.54,53.63
57.74,64.34,70.55,53.64
57.76,64.35,70.57,53.66
57.78,64.39,70.58,53.83
57.79,64.39,70.6,53.85
57.84,64.42,70.65,53.86
57.96,64.44,70.65,53.86
57.96,64.48,70.68,53.88
57.97,64.52,70.71,53.91
58.04,64.52,70.72,53.96
58.1,64.53,70.81,53.98
58.14,64.62,70.83,54.08
58.17,64.65,70.85,54.1
